Id,EssayText,Score1,Score2
6251,Pandas in China are similar to koalas in Australia because they both live in an environment where pythons would not be able to live in. Pythons live in a warmer climate while the pandas and koalas do not.,0,0
5594,"Pandas and koala's are similar in ways because they are mamals, they have nails, mouth, nose, eyes, and ears. But they are different because pythons are reptiles and have no fur/hair, no legs/arms, they have scales and those are some general differences between them.",0,0
5573,"Pandas in China are similar to koalas in Australia because they both are vegetarians, they don't eat meat. Their both different from pythons because pandas and koalas are both furry and pythons have scales on them.",0,0
5138,Pandas and koalas are similar because they have the same eating habits and they don't move around much. Pandas and koalas differ from pythons because pythons cause harm & scare people and pandas/koalas eat very little and lovable.,0,0
5657,"Koalas and pandas both look the same and there small. A python slithers and cannot move as fast as a koala or panda. ""And there warm and fuzzy.""",0,0
6420,"Pandas and Koalas are different from pythons because they do not efect people in any way all they do is eat"" vegatation while pythons eat what their bodies can handle and what they can take down.",0,0
5967,"According to the article pandas in China and koalas in Australia are similar because they're both specialist, they're endangered, they're both different than a python because pythons are generalist creatures.",0,0
5953,Pandas in China are similar to koala in Australia is that they both eat plants. They are different from pythons because pythons eat animals not plants.,0,0
6788,Panda's in China are similar to koalas in Australia because they are both mammals and there warm and fuzzy. They are different from pythons because pythons are reptiles and there a totally different species then mammals,0,0
5029,The connection between the pandas and the koala bear from the passage was used as an example. That both animals have the same eating habits of how often they eat something. The panda eats mostly bamboo while the koala bear rarely eats eucalyptus leaves. That how pythons would react.,0,0
5649,Pandas are similar to koalas because they both are specialist species and they both eat very little. They also will become endangered as the earth continue to industrialize and expand.,0,0
6164,"Pandas an koala bears are similar because they are both specialists. Altho the difference between them and the python; the python isn't a specialist unlike the koala, and panda bear.",0,0
6545,"Pandas and Koalas are similar because they both eat leaves and arent normaly pets. They are both different from pythons because as said in the story, they eat mammals like rats.",0,0
6371,Panda and Koala eat the same type of plants.,0,0
5547,"Panda bears in China, and koala bears in Australia is similar because they are both environmental species. They both different from python because a python is a generalist.",0,0
5761,Pandas in China and koalas in Australia are different because the China pandas eats nothing but bamboo. the Australia koala eat eucalyptus leaves almost exclusively. There similar because most species are abundant and they do very good around humans.,0,0
5076,"Pandas in China and koalas are different from pythons because as it states in the article, ""China's panda which eats almost nothing but bamboo, or Australia's koala bear which eats eucalyptus leaves almost exclusively"", whereas; pythons can eat animals such as alligators. Not only is what they at a difference, but pythons are generalists, and the panda and koala are specialists.",1,1
5902,"Pandas in China are very similar to koalas in Australia because all they eat is pretty much ulggier, such as bamboo and leaves. On the other hand, pythons are very different from pandas and koalas because they eat anything that moves. That can become very dangerous they can kill almost anything. They said in the article that a python once ate a whole alligator.",1,1
5370,They way pandas in China to koalas in Australia is that they both herbavors that eat plants and not meat. They the way they both are different than pythons is that pythons can and have easily adapted somewhere else and have turned into carnivors.,1,1
5395,"Pandas in China are similar to koalas in Australia because they are both specialist, they live in one certain place and eat one certain thing. On the other hand pandas are diffrent from pythons because pythons are a generalist species and can live almost half the US and eat almost anything.",1,1
6363,"Pandas in China are both similar to koalas in Australia because they are both specialists. Both of these animals need specific food source to survive. These animals are different from pythons because they are more adaptive. In the article it says that pythons have been found in many different areas then they used to be in. This shows that unlike pandas and koalas, pythons can adapt to other environments.",1,1
6115,Pandas and a koalas are similar because they ar specialist so they only know how to survive in there environment. Both the panda and the koala are different from the python because the python is a generalist. Generalist can live and survive anywhere.,1,1
5544,The panda and Koala are both similar creatures because they are both specialists who can live off of one thing. They are different from pythons because pythons are generalists and can live off of eating many different foods.,1,1
5581,"Pandas and koalas are both specialist species and only eat, one type of food. They are different from pythons because pythons are generalists and eat a verity of food.",1,1
5751,Pandas and koalas are similar because they basically need 1 food source to survive unlike pythons who need more than 1 thing to survive.,1,1
6418,"Pandas in China and koala's in Austriala are different from pythons because, China's pandas eat almost nothing but bamboo, or Austrias koala's bear which eats eucalptus leaves almost exclusively. Pythons will eat mostly anything that has meat cause of it's carnivose features.",1,1
6476,"Panda's and Koala's are stated in the article to be located in different continents but they are similar in a way. Pandas and Koala's eat plants and nothing else, such as as bamboo and eucalyptus leaves. Animals and reptiles are different because, in the article the author explained that pythons eat other animals such as an alligator. Therefore, states that Panda's and Koalas are different.",1,1
6324,"Pandas in China are similar to koalas in Australia because they are both specialists. China's panda, ''eats about nothing besides bamboo'' and Australia's koala, ''eats eucalyptus leaves exclusively (Achenbach). A python is a a more generalist animal such as a raccoon, deer, or cockroach.",1,1
6470,Pandas in China are similar to Koalas in Australia because they are both specialist meaning they always eat the same food. For example Koala's eat the eucalyptus leaves and a Panda eats bamboo. They are both different from pythons because pythons vary their foods.,1,1
5625,"Pandas in China are similar to koalas in Australia because they are both specialist is a very picky animal. For instance the panda eats nothing but bamboo, and the koala bea, only eats eucalyptus leaves. These to animals are different then python because pythons can live in a lot of places.",1,1
5619,"Pandas & koalas are similar because they are both specialist species. This is shown by ''A specialist is China's panda, which eats almost nothing but bamboo, or Australia's koala bear, which eats eucalyptus leaves almost exclusively.'' They are different from pythons because neither of them eat meat and also pythons are generalist species.",1,1
6073,Pandas in China are the same as koalas in Australia because both species are specialists and both eat's almost nothing else but one thing which is bamboo for the panda an eucalyptus leaves for the koala. Both these species are different from the python because the python isn't a specialist it is a generalist.,1,1
5133,"Pandas in China are similar to koalas in Australia in that they are both specialist species, meaning they need very specific conditions, climate and habitat to flourish. As the text says pandas eat ""almost nothing but bamboo"" and the koala ""eats eucalyptus leaves almost exclusively."" On the other hand, pythons are classified as a generalist species, able to live in a wider range of habitats and live off of a wider range of food sources , whether in Asia of the U.S. The main difference here is ability to survive in our quickly changing world: the generalists (python) hold a huge advantage over the specialists (panda and koala.)",2,2
4998,"Pandas in China, and koalas in Australia are similar because they both are specialists. So they have to stay in specific habitats to survive. Pythons are generalists, they can move anywhere and adapt to their surroundings to survive. In the article it says that the pandas mostly eat bamboo and koalas mostly eat eucalyptus leaves.",2,2
6116,"Chinese pandas and Australian koalas are both specialist, needing stability, the mainfood source they eat, and to not have change as explained in paragraph 21. A python is a generalist and is able to adapt to new climate and have multiple food sources and can live in multiple places because the earth ""favors generalists over specialists"".",2,2
6738,Pandas in china are similar to koalas because according to the article they're both specialists and a panda eats bamboo and a koala eats eucalyptus leaves. They both eat same sort of leaf or plant on the other hand theyre different from a python because a python is a generalist who can live almost anywhere. A panda or a koala cant do this because they need to stay where they know they can get bamboo or the eucalyptus leaves.,2,2
6791,"The China's panda and Australia's Koala are both considered a type of bear.They both live off one specific type of food they eat for example , the panda eats bamboo and almost nothing else. The Koala bear eats eucalyptus leaves exclusively. These 2 types of bears plant eaters you could say. The python is a dangerous meat eater ranging from rats to Alligators. The python is far more aggresive and smaller than the two bears.",2,2
6254,"Pandas in China area similar to koalas in Australia because they are both specialists. They require a specific type of food. For example, a panda only eats,bamboo and the koala only eats eucalyptus leaves. This is different from the pythons because the python is a generalist. It is able to eat many different things and can live easily among humans while specialist cannot.",2,2
6629,"Pandas and koalas are similar because they depend entirely on their location to survive. Their only food source is where they live. They are different from pythons because pythons can live pretty much anywhere. In the article it says a python lived in a tourist car and due tried to eat an alligator, so they can actually survive.",2,2
6096,"Pandas from China and Koalas from Australia are quite similar in the fact that they can only eat food from one source and, therefor, can only live in one environment. They are different from pythons however, because pythons are more invasive and can adapt easily to new diets.",2,2
5035,"Pandas in China and koalas in Australia are similar for they are both specialists species, meaning that they are stable creatures who live the same lifestyle. For example they eat only bamboo and eucalyptus leaves respectively. They both are different from the python because the python is a generalist species. That means that it is able to adapt to changes. It can eat a variety of things, it can change.",2,2
5829,"Pandas In China and koalas in Australia are similar because they are both specialist species, animals needing stability and little change in their lives. Pandas eat mostly bamboo, and koalas eat mostly eucalyptus leaves. They are both different from pythons because they are a generalist species. Pythons are able to adapt to changes in enviroment, location, and food supply unlike pandas & koalas.",2,2
5293,"Pandas in China are similar to Koalas in Australia because they are both specialists animals. There are not a lot of them and they both only eat one thing. Pandas eat bamboo, while Koalas eat eucalyptus leaves. Both of these animals are different from pythons because pythons are abundant and will eat anything that they can get their rangs into. They are generalists.",2,2
6569,"Pandas in China are similar to Koalas in Australia because they both specialists. These two animals rely and single species food sorce to survive, and are different from the python because this animal is a generalist, meaning it will change its food source as it travels to different envroments.",2,2
6699,Pandas in China are similar to koalas in Australia because they are both specialists. Pandas and koalas cannot survive just anywhere because pandas eat almost only bamboo and koalas eat almost only eucalyptus leaves. They are both different from pythons because pythons are generalists and do not require a specific type of food. This means they have more places where they can survive.,2,2
6222,"A panda in China is similar to a koala in Australia because they each almost exclusively eat only one type of food making it a specialist, meaning they can only live in a certain type of environment. They are different from a python because according to the article, a python is a generalist. This means that it can live anywhere that there is food. The article also states that ""The species that are most abundant are after those that do best around humans.""",2,2
5613,"pandas and koalas are similer in that they are both specialists and require very specific food sources like bamboo and eucalysts leaves (achenbach 2). They are both diffrent from pythons in that pythons have a universal and adaptable diet, unlike the panda and koala whos diet limit its movement, it can adopt and live manny places. It is a generalist.",2,2
6134,"The pandas in China barely eat anything but bamboo, they're similar in that way to the Australian koala bear, which eats eucalyptus leaves exclusively. Both of these animals differ from the pythons which can probably adapt to new places and eat almost anything from rats to even alligators. ""The Everglades in 2005: A python swallowed an alligator."" thats a big difference to me.",2,2
